ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,5,5,18,,,,,,,,,,,,,89.30510259995935,None,89.30510259995935,None,90.29538639995735,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,6,6,1,,,,,,,,,,,,,90.5345598999993,None,90.5345598999993,None,91.52613710000878,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,7,7,5,,,,,,,,,,,,,91.59352479997324,None,91.59352479997324,None,92.5934760000091,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,8,8,9,,,,,,,,,,,,,92.76643049996346,None,92.76643049996346,None,93.77621889999136,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,9,9,11,,,,,,,,,,,,,94.01915829995414,None,94.01915829995414,None,95.02584119996754,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,10,10,15,,,,,,,,,,,,,95.30886449996615,None,95.30886449996615,None,96.30888239998603,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,11,11,3,,,,,,,,,,,,,96.45309019996785,None,96.45309019996785,None,97.45853699999861,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,12,12,14,,,,,,,,,,,,,97.61929189995863,None,97.61929189995863,None,98.62520740000764,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,13,13,12,,,,,,,,,,,,,98.87981059995946,None,98.87981059995946,None,99.89148469996871,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,14,14,0,,,,,,,,,,,,,100.06730319996132,None,100.06730319996132,None,101.07565859996248,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,15,15,2,,,,,,,,,,,,,101.30800739995902,None,101.30800739995902,None,102.30839500000002,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,16,16,4,,,,,,,,,,,,,102.42503549996763,None,102.42503549996763,None,103.4272665999597,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,17,17,17,,,,,,,,,,,,,103.73452359996736,None,103.73452359996736,None,104.74217199999839,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,2,0,2,0,0,18,18,6,,,,,,,,,,,,,104.97175570001127,None,104.97175570001127,None,105.97491240000818,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,2,0,2,0,0,19,19,16,,,,,,,,,,,,,106.00016459997278,None,106.00016459997278,None,107.00786899996456,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,-0.1,Rating\ratingCS+1.png,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,108.7448710000026,None,108.7448710000026,None,2.5859374999999996,2.2852585000218824,108.7448710000026,None,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,0.4,Rating\ratingCS-1.png,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,112.2920446000062,None,112.2920446000062,None,2.171875,0.535088500007987,112.2920446000062,None,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
